name,formattedAddress,location,displayName,websiteUri
places/ChIJqcQRu8FbwokRbyzVeA33DcU,"2184 Clarendon Rd, Brooklyn, NY 11226, USA","{'latitude': 40.642477799999995, 'longitude': -73.9567847}","{'text': ""Barbara's Gift Shop"", 'languageCode': 'en'}",
places/ChIJPfEQoU5awokRNdBwGAHP83E,"89 E 42nd St, New York, NY 10001, USA","{'latitude': 40.7531532, 'longitude': -73.97797589999999}","{'text': 'New York Transit Museum Gift Shop', 'languageCode': 'en'}",http://www.nytransitmuseum.org/
places/ChIJ9RBTHP1ZwokRZ8zm5lpeVAE,"186 Mulberry St, New York, NY 10012, USA","{'latitude': 40.7209587, 'longitude': -73.9965015}","{'text': 'NYC GIFT SHOP', 'languageCode': 'en'}",
places/ChIJZ4imDmFZwokRJa4yHo8ELdg,"99 Grand St, Brooklyn, NY 11249, USA","{'latitude': 40.7156145, 'longitude': -73.9635435}","{'text': 'LEIF — Home & Gift', 'languageCode': 'en'}",https://www.leifshop.com/
places/ChIJvydU2UdawokR6BihDD2rjkU,"137 Montague St, Brooklyn, NY 11201, USA","{'latitude': 40.6947889, 'longitude': -73.9938316}","{'text': ""Brooklyn Women's Exchange Inc"", 'languageCode': 'en'}",http://www.brooklyn-womens-exchange.org/
places/ChIJa47KrQJbwokRYLY7pVTpBCs,"352 7th Ave, Brooklyn, NY 11215, USA","{'latitude': 40.666253600000005, 'longitude': -73.9823848}","{'text': 'Sterling Place', 'languageCode': 'en'}",http://www.sterlingplace.com/
places/ChIJEymG8zREwokRpMdufwWarTc,"1223 Riegelmann Boardwalk, Brooklyn, NY 11224, USA","{'latitude': 40.5732505, 'longitude': -73.9802998}","{'text': 'Brooklyn Beach Shop', 'languageCode': 'en'}",
places/ChIJTy_xtBJOwokRFH8oPMNkkoI,"717 Forest Ave, Staten Island, NY 10310, USA","{'latitude': 40.6295389, 'longitude': -74.11292639999999}","{'text': 'Gifted', 'languageCode': 'en'}",http://www.giftedshopny.com/
places/ChIJA5mS6B9bwokRJEBV6qqULwQ,"299 Sands St, Brooklyn, NY 11205, USA","{'latitude': 40.6996301, 'longitude': -73.98025}","{'text': 'Virtual Gift Store', 'languageCode': 'en'}",
places/ChIJTQUHjfZEwokRomdr52bS_v8,"502 Avenue U, Brooklyn, NY 11223, USA","{'latitude': 40.5975804, 'longitude': -73.9666914}","{'text': 'Special Gift Box', 'languageCode': 'en'}",http://www.thegiftbox.us/
places/ChIJ6xnrUBNbwokR74m4p_aepiE,"653 Flatbush Ave, Brooklyn, NY 11225, USA","{'latitude': 40.6574803, 'longitude': -73.9599302}","{'text': 'Awesome Brooklyn', 'languageCode': 'en'}",http://www.awesomebrooklyn.com/
places/ChIJj94Xk_dbwokRW4yjUgVKi0s,"879 Broadway, Brooklyn, NY 11206, USA","{'latitude': 40.6984202, 'longitude': -73.9374155}","{'text': 'Karina Gift Shop', 'languageCode': 'en'}",
places/ChIJG2SuUwZFwokRIFw8CgJef6M,"2262 86th St, Brooklyn, NY 11214, USA","{'latitude': 40.600851, 'longitude': -73.9923745}","{'text': 'New Age Gifts', 'languageCode': 'en'}",
places/ChIJpeIVgqZZwokRid4iTxivVhM,"206 5th Ave, New York, NY 10010, USA","{'latitude': 40.74321, 'longitude': -73.988793}","{'text': 'Memories of New York', 'languageCode': 'en'}",http://www.memoriesofnewyork.com/
places/ChIJzfYApdxfwokRLGlbvepkyQ0,"37-50A 74th Street, Jackson Heights, NY 11372, USA","{'latitude': 40.747500699999996, 'longitude': -73.8918439}","{'text': 'Rahim Gift Shop', 'languageCode': 'en'}",
places/ChIJi27RGkNdwokRgf4nnkPjC3Q,"244 Wyckoff Ave, Brooklyn, NY 11237, USA","{'latitude': 40.7005263, 'longitude': -73.9132435}","{'text': 'KB shop (GIFT SHOP)', 'languageCode': 'en'}",https://etsy.me/3OUFy1J
places/ChIJCfMyN5RZwokRj4_J-Y3g41M,"30 Charles St, New York, NY 10014, USA","{'latitude': 40.734992899999995, 'longitude': -74.0016979}","{'text': 'Pink Olive West Village', 'languageCode': 'en'}",http://www.pinkolive.com/
places/ChIJ67BK9SdawokR_SNLDGAdes8,"121 Mott St, New York, NY 10013, USA","{'latitude': 40.7180244, 'longitude': -73.99721250000002}","{'text': 'J & J Beauty & Gift Shop', 'languageCode': 'en'}",
